name,season,caphit
Carey Price,2020,"$10,500,000"
Sergei Bobrovsky,2020,"$10,000,000"
Andrei Vasilevskiy,2020,"$9,500,000"
Tuukka Rask,2020,"$7,000,000"
Marc-Andre Fleury,2020,"$7,000,000"
John Gibson,2020,"$6,400,000"
Matthew Murray,2020,"$6,250,000"
Connor Hellebuyck,2020,"$6,166,666"
Jacob Markstrom,2020,"$6,000,000"
Jonathan Quick,2020,"$5,800,000"
Martin Jones,2020,"$5,750,000"
Semyon Varlamov,2020,"$5,000,000"
Robin Lehner,2020,"$5,000,000"
Pekka Rinne,2020,"$5,000,000"
Darcy Kuemper,2020,"$4,500,000"
Mikko Koskinen,2020,"$4,500,000"
Jordan Binnington,2020,"$4,400,000"
Jake Allen,2020,"$4,350,000"
Braden Holtby,2020,"$4,300,000"
Antti Raanta,2020,"$4,250,000"
Elvis Merzlikins,2020,"$4,000,000"
Cam Talbot,2020,"$3,666,666"
Thomas Greiss,2020,"$3,600,000"
Tristan Jarry,2020,"$3,500,000"
James Reimer,2020,"$3,400,000"
Philipp Grubauer,2020,"$3,333,333"
Anton Khudobin,2020,"$3,333,333"
Petr Mrazek,2020,"$3,125,000"
Jonathan Bernier,2020,"$3,000,000"
MacKenzie Blackwood,2020,"$2,800,000"
Joonas Korpisalo,2020,"$2,800,000"
Carter Hutton,2020,"$2,750,000"
David Rittich,2020,"$2,750,000"
Linus Ullmark,2020,"$2,600,000"
Alexandar Georgiev,2020,"$2,425,000"
Jaroslav Halak,2020,"$2,250,000"
Ilya Sorokin,2020,"$2,000,000"
Jack Campbell,2020,"$1,650,000"
Laurent Brossoit,2020,"$1,500,000"
Mike Smith,2020,"$1,500,000"
Juuse Saros,2020,"$1,500,000"
Brian Elliott,2020,"$1,500,000"
Curtis McElhinney,2020,"$1,300,000"
Casey DeSmith,2020,"$1,250,000"
Pheonix Copley,2020,"$1,100,000"
Thatcher Demko,2020,"$1,050,000"
Ryan Miller,2020,"$1,000,000"
Collin Delia,2020,"$1,000,000"
Spencer Knight,2020,"$925,000"
Alexei Melnichuk,2020,"$925,000"
Jake Oettinger,2020,"$925,000"
Igor Shesterkin,2020,"$925,000"
Jeremy Swayman,2020,"$925,000"
Cayden Primeau,2020,"$880,833"
Cal Petersen,2020,"$858,333"
Chris Driedger,2020,"$850,000"
Malcolm Subban,2020,"$850,000"
Keith Kinkaid,2020,"$825,000"
Aaron Dell,2020,"$800,000"
Adin Hill,2020,"$800,000"
Kevin Lankinen,2020,"$800,000"
Emil Larmi,2020,"$792,500"
Alex Stalock,2020,"$785,000"
Ukko-Pekka Luukkonen,2020,"$778,333"
Filip Gustavsson,2020,"$761,666"
Anthony Stolarz,2020,"$750,000"
Ville Husso,2020,"$750,000"
Alex Nedeljkovic,2020,"$737,500"
Alex D'Orio,2020,"$733,333"
Carter Hart,2020,"$730,833"
Dustin Tokarski,2020,"$725,000"
Kaapo Kahkonen,2020,"$725,000"
Josef Korenar,2020,"$723,333"
Vitek Vanecek,2020,"$716,667"
Kasimir Kaskisuo,2020,"$700,000"
Alex Lyon,2020,"$700,000"
Jonas Johansson,2020,"$700,000"
Scott Wedgewood,2020,"$700,000"
Maxime Lagace,2020,"$700,000"
Troy Grosenick,2020,"$700,000"
Cory Schneider,2020,"$700,000"
Louis Domingue,2020,"$700,000"
Craig Anderson,2020,"$700,000"
Anton Forsberg,2020,"$700,000"
Marcus Hogberg,2020,"$700,000"
Chris Gibson,2020,"$700,000"
Carey Price,2021,"$10,500,000"
Sergei Bobrovsky,2021,"$10,000,000"
Andrei Vasilevskiy,2021,"$9,500,000"
Marc-Andre Fleury,2021,"$7,000,000"
John Gibson,2021,"$6,400,000"
Connor Hellebuyck,2021,"$6,166,666"
Jordan Binnington,2021,"$6,000,000"
Jacob Markstrom,2021,"$6,000,000"
Philipp Grubauer,2021,"$5,900,000"
Jonathan Quick,2021,"$5,800,000"
Igor Shesterkin,2021,"$5,666,667"
Thatcher Demko,2021,"$5,000,000"
Robin Lehner,2021,"$5,000,000"
Juuse Saros,2021,"$5,000,000"
Semyon Varlamov,2021,"$5,000,000"
Linus Ullmark,2021,"$5,000,000"
Frederik Andersen,2021,"$4,500,000"
Mikko Koskinen,2021,"$4,500,000"
Darcy Kuemper,2021,"$4,500,000"
Elvis Merzlikins,2021,"$4,000,000"
Ilya Sorokin,2021,"$4,000,000"
Carter Hart,2021,"$3,979,000"
Petr Mrazek,2021,"$3,800,000"
Cam Talbot,2021,"$3,666,666"
Thomas Greiss,2021,"$3,600,000"
Chris Driedger,2021,"$3,500,000"
Tristan Jarry,2021,"$3,500,000"
Alex Nedeljkovic,2021,"$3,000,000"
Jake Allen,2021,"$2,875,000"
MacKenzie Blackwood,2021,"$2,800,000"
Joonas Korpisalo,2021,"$2,800,000"
Alexandar Georgiev,2021,"$2,425,000"
James Reimer,2021,"$2,250,000"
Mike Smith,2021,"$2,200,000"
